Codigo;Nome;TipoEstacao;Operando;Rio;Municipio;ResponsavelSigla;OperadoraSigla;EstacaoTelemetrica;AreaDrenagem;Latitude;Longitude;Descricao
65035001;UHE GOV. NEY AMINTHAS PORTO AMAZONAS;Fluviométrica;Sim;RIO IGUAÇU;PORTO AMAZONAS;COPEL;COPEL;Sim;3620.0;-25.5481;-49.8894;RES. ANA/ANEEL N. 03/2010
65060001;UHE GOV. NEY AMINTHAS SÃO MATEUS DO SUL;Fluviométrica;Sim;RIO IGUAÇU;SÃO MATEUS DO SUL;COPEL;COPEL;Sim;6050.0;-25.8756;-50.3894;RES. ANA/ANEEL N. 03/2010
65220001;UHE GOV. BENTO MUNHOZ FLUVIÓPOLIS;Fluviométrica;Sim;RIO IGUAÇU;SÃO MATEUS DO SUL;F.D.A.;F.D.A.;Sim;18600.0;-26.0192;-50.5925;RES. ANA/ANEEL N. 03/2010
65310001;UHE GOV. BENTO MUNHOZ UNIÃO DA VITÓRIA;Fluviométrica;Sim;RIO IGUAÇU;UNIÃO DA VITÓRIA;F.D.A.;F.D.A.;Sim;24200.0;-26.2281;-51.0803;RES. ANA/ANEEL N. 03/2010
65365801;UHE GOV. BENTO MUNHOZ R5 PORTO VITÓRIA;Fluviométrica;Sim;RIO IGUAÇU;PORTO VITÓRIA;F.D.A.;F.D.A.;Sim;24900.0;-26.1653;-51.2281;RES. ANA/ANEEL N. 03/2010
65774400;UHE GOV. BENTO MUNHOZ BARRAMENTO;Fluviométrica;Sim;RIO IGUAÇU;PINHÃO;F.D.A.;F.D.A.;Sim;30100.0;-26.0094;-51.6647;RES. ANA/ANEEL N. 03/2010
65803001;UHE GOV. NEY AMINTHAS BARRAMENTO;Fluviométrica;Sim;RIO IGUAÇU;MANGUEIRINHA;COPEL;COPEL;Sim;34400.0;-25.7883;-52.1147;RES. ANA/ANEEL N. 03/2010
65883051;UHE SALTO SANTIAGO BARRAMENTO;Fluviométrica;Sim;RIO IGUAÇU;SAUDADE DO IGUAÇU;ENGIE;ENGIE;Sim;43900.0;-25.6103;-52.6164;RES. ANA/ANEEL N. 03/2010
65894991;UHE SALTO OSÓRIO BARRAMENTO;Fluviométrica;Sim;RIO IGUAÇU;QUEDAS DO IGUAÇU;ENGIE;ENGIE;Sim;45800.0;-25.5331;-53.0106;RES. ANA/ANEEL N. 03/2010
65970700;BALSA JARACATIÁ;Fluviométrica;Sim;RIO IGUAÇU;TRÊS BARRAS DO PARANÁ;COPEL;COPEL;Sim;55800.0;-25.5828;-53.2672;
65971500;BOA VISTA DA APARECIDA;Fluviométrica;Sim;RIO IGUAÇU;BOA VISTA DA APARECIDA;COPEL;COPEL;Sim;56900.0;-25.5225;-53.3631;
65973501;UHE GOV. JOSÉ RICHA BARRAMENTO;Fluviométrica;Sim;RIO IGUAÇU;NOVA PRATA DO IGUAÇU;COPEL;COPEL;Sim;57100.0;-25.5419;-53.4844;RES. ANA/ANEEL N. 03/2010
