Codigo;Nome;TipoEstacao;Operando;Rio;Municipio;ResponsavelSigla;OperadoraSigla;EstacaoTelemetrica;AreaDrenagem;Latitude;Longitude;Descricao
64080000;UHE JURUMIRIM CAMPINA DO MONTE ALEGRE;Fluviométrica;Sim;RIO PARANAPANEMA;CAMPINA DO MONTE ALEGRE;PARANAPANEMA;PARANAPANEMA;Sim;5860.0;-23.5928;-48.4914;RES. ANA/ANEEL N. 03/2010
64119000;UHE JURUMIRIM BURI;Fluviométrica;Sim;RIO APIAI-GUAÇU;BURI;PARANAPANEMA;PARANAPANEMA;Sim;2010.0;-23.7986;-48.5867;RES. ANA/ANEEL N. 03/2010
64198000;UHE JURUMIRIM FAZENDA AGROLIN;Fluviométrica;Sim;RIO TAQUARI;ITABERÁ;PARANAPANEMA;PARANAPANEMA;Sim;2110.0;-23.7858;-49.0558;RES. ANA/ANEEL N. 03/2010
64215080;UHE JURUMIRIM BARRAMENTO;Fluviométrica;Sim;RIO PARANAPANEMA;PIRAJU;PARANAPANEMA;PARANAPANEMA;Sim;17900.0;-23.21;-49.2292;RES. ANA/ANEEL N. 03/2010 Os dados de vazão no barramento trata-se da defluência total (turbinada + vertida)
64219080;UHE PIRAJU BARRAMENTO;Fluviométrica;Sim;RIO PARANAPANEMA;PIRAJU;CBA;CBA;Sim;18400.0;-23.1544;-49.38;RES. ANA/ANEEL N. 03/2010
64219200;UHE PIRAJU JUSANTE;Fluviométrica;Sim;RIO PARANAPANEMA;PIRAJU;CBA;CBA;Sim;18401.0;-23.1603;-49.3786;RES. ANA/ANEEL N. 03/2010
64221000;UHE PARANAPANEMA BARRAMENTO;Fluviométrica;Sim;RIO PARANAPANEMA;PIRAJU;ENEL GREEN;ENEL GREEN;Sim;18407.0;-23.1869;-49.3842;RES. ANA/ANEEL N. 03/2010
64221500;UHE PARANAPANEMA JUSANTE;Fluviométrica;Sim;RIO PARANAPANEMA;PIRAJU;ENEL GREEN;ENEL GREEN;Sim;18408.0;-23.1789;-49.3922;RES. ANA/ANEEL N. 03/2010
64247000;UHE CHAVANTES OLARIA DOS PADRES;Fluviométrica;Sim;RIO ITARARÉ;SANTANA DO ITARARÉ;PARANAPANEMA;PARANAPANEMA;Sim;4230.0;-23.7233;-49.5558;RES. ANA/ANEEL N. 03/2010
64250010;UHE CHAVANTES ITAPORANGA;Fluviométrica;Sim;RIO VERDE;ITAPORANGA;PARANAPANEMA;PARANAPANEMA;Sim;1450.0;-23.7331;-49.4303;RES. ANA/ANEEL N. 03/2010
